departamento,municipio,cultivo,anio,fuente_eva,split,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha,rendimiento_lag_1,rendimiento_lag_2,rendimiento_lag_3,produccion_lag_1,area_cosechada_lag_1,area_sembrada_lag_1,media_rendimiento_3y,variabilidad_rendimiento_3y,tendencia_rendimiento_3y,es_outlier_rendimiento,dato_copiado,inconsistencia_rend,score_confiabilidad,precipitacion_acumulada_mm,dias_lluvia,intensidad_max_diaria_mm,precipitacion_mediana_diaria,precip_Q3_mm,ratio_concentracion_lluvia,cv_precipitacion_mensual,max_dias_secos_consecutivos,ph_media,num_muestras_suelo,ph_variabilidad,materia_organica_pct_media,materia_organica_pct_variabilidad,fosforo_ppm_media,fosforo_ppm_variabilidad,calcio_meq_media,calcio_meq_variabilidad,magnesio_meq_media,magnesio_meq_variabilidad,potasio_meq_media,potasio_meq_variabilidad,salinidad_ds_m_media,salinidad_ds_m_variabilidad,tendencia_ph,tendencia_materia_organica_pct,tendencia_fosforo_ppm,tendencia_calcio_meq,tendencia_magnesio_meq,tendencia_potasio_meq,tendencia_salinidad_ds_m,credito_total,colocacion_total,num_operaciones_credito,credito_promedio_operacion,log_credito_total,precio_internacional_usd,precio_internacional_max,precio_internacional_min,volatilidad_precio,cambio_precio_pct,rango_precio_ratio
META,ACACIAS,ARROZ,2016,historica,historial,31.0,31.0,149.0,4.806451612903226,4.9696428571428575,5.092140921409214,3.869565217391304,2783.0,560.0,561.0,4.643782998647793,0.6732839843242513,-0.1224980642663569,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2017,historica,historial,660.0,660.0,2860.0,4.333333333333333,4.806451612903226,4.9696428571428575,5.092140921409214,149.0,31.0,31.0,4.956078463818432,0.1433268635788521,-0.1631912442396315,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2018,historica,historial,514.0,514.0,2684.0,5.221789883268483,4.333333333333333,4.806451612903226,4.9696428571428575,2860.0,660.0,660.0,4.703142601126472,0.3304951080702882,-0.4731182795698929,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2019,reciente,target,468.2,461.2,2464.3,5.34323503902862,5.221789883268483,4.333333333333333,4.806451612903226,2684.0,514.0,514.0,4.787191609835014,0.4445413041206704,0.8884565499351496,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2020,reciente,target,399.0,399.0,2004.0,5.022556390977444,5.34323503902862,5.221789883268483,4.333333333333333,2464.3,461.2,468.2,4.966119418543478,0.5513627695910254,0.1214451557601377,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2021,reciente,target,700.0,631.0,3143.0,4.980982567353407,5.022556390977444,5.34323503902862,5.221789883268483,2004.0,399.0,399.0,5.195860437758182,0.1619041411988449,-0.3206786480511763,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2022,reciente,target,0.0,411.0,1849.5,4.5,4.980982567353407,5.022556390977444,5.34323503902862,3143.0,631.0,700.0,5.115591332453158,0.1982380855442302,-0.041573823624037,0,0,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,1708168928.2124996,872700076.0,21.0,81341377.53392856,21.258687832113203,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2023,reciente,target,0.0,482.0,2169.0,4.5,4.5,4.980982567353407,5.022556390977444,1849.5,411.0,0.0,4.834512986110283,0.2904415588547784,-0.4809825673534069,0,1,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,1447054932.75,556127903.0,15.0,96470328.85,21.09279624776596,400.0,400.0,400.0,0.0,0.0,1.0
META,ACACIAS,ARROZ,2024,reciente,target,0.0,787.0,3541.5,4.5,4.5,4.5,4.980982567353407,2169.0,482.0,0.0,4.660327522451136,0.2776954147370046,0.0,0,1,0,0.95,,,,,,,,,4.713007518796993,133.0,0.3549434119695918,2.419172932330827,1.6193540823767587,9.91418604651163,13.589966007688036,1.2790977443609024,0.9554448897468436,0.2672180451127819,0.1522226906564686,0.1136090225563909,0.0464878339553,0.1593076923076923,0.0779304844427775,-0.0797277396564107,0.2146184569154918,-0.0436489999315662,-0.1535745054295678,-0.3834159413443086,-0.1585886666695223,0.2610473208072374,2158783200.0,978640000.0,19.0,113620168.42105262,21.49281056704054,500.0,500.0,500.0,0.0,25.0,1.0
CHOCO,ACANDI,ARROZ,2006,historica,historial,410.0,410.0,738.0,1.8,,,,,,,4.5,0.0,,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
CHOCO,ACANDI,ARROZ,2007,historica,historial,480.0,480.0,849.0,1.76875,1.8,,,738.0,410.0,410.0,3.15,1.9091883092036783,,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
CHOCO,ACANDI,ARROZ,2008,historica,historial,118.0,118.0,178.0,1.5084745762711864,1.76875,1.8,,849.0,480.0,480.0,1.784375,0.0220970869120796,-0.03125,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2009,historica,historial,260.0,260.0,596.0,2.292307692307692,1.5084745762711864,1.76875,1.8,178.0,118.0,118.0,1.6924081920903955,0.1600556837361494,-0.2602754237288136,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2010,historica,historial,173.0,157.0,357.0,2.2738853503184715,2.292307692307692,1.5084745762711864,1.76875,596.0,260.0,260.0,1.85651075619296,0.3992180496853124,0.7838331160365057,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2011,historica,historial,186.0,186.0,414.0,2.225806451612903,2.2738853503184715,2.292307692307692,1.5084745762711864,357.0,157.0,173.0,2.024889206299117,0.4473230356814355,-0.0184223419892206,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2012,historica,historial,400.0,400.0,800.0,2.0,2.225806451612903,2.2738853503184715,2.292307692307692,414.0,186.0,186.0,2.2639998314130225,0.0343350603102544,-0.0480788987055684,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2013,historica,historial,400.0,400.0,880.0,2.2,2.0,2.225806451612903,2.2738853503184715,800.0,400.0,400.0,2.166563933977125,0.1462380019066072,-0.225806451612903,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2014,historica,historial,500.0,500.0,900.0,1.8,2.2,2.0,2.225806451612903,880.0,400.0,400.0,2.141935483870968,0.1235951229720509,0.2000000000000001,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2015,historica,historial,960.0,960.0,1728.0,1.8,1.8,2.2,2.0,900.0,500.0,500.0,2.0,0.1999999999999999,-0.4000000000000001,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2016,historica,historial,990.0,990.0,1782.0,1.8,1.8,1.8,2.2,1728.0,960.0,960.0,1.9333333333333336,0.2309401076758505,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2017,historica,historial,1000.0,1000.0,1800.0,1.8,1.8,1.8,1.8,1782.0,990.0,990.0,1.8,0.0,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2018,historica,historial,800.0,800.0,1440.0,1.8,1.8,1.8,1.8,1800.0,1000.0,1000.0,1.8,0.0,0.0,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2019,reciente,target,240.0,240.0,514.08,2.1420000000000003,1.8,1.8,1.8,1440.0,800.0,800.0,1.8,0.0,0.0,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2020,reciente,target,280.0,280.0,599.76,2.142,2.1420000000000003,1.8,1.8,514.08,240.0,240.0,1.9140000000000004,0.1974537920628521,0.3420000000000003,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2021,reciente,target,220.0,220.0,523.6,2.38,2.142,2.1420000000000003,1.8,599.76,280.0,280.0,2.028,0.1974537920628521,-4.440892098500626e-16,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2022,reciente,target,120.0,116.0,345.1,2.975,2.38,2.142,2.1420000000000003,523.6,220.0,220.0,2.2213333333333334,0.1374093640671307,0.238,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2023,reciente,target,122.0,224.0,666.4,2.975,2.975,2.38,2.142,345.1,116.0,120.0,2.499,0.4290606017802146,0.5950000000000002,0,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
CHOCO,ACANDI,ARROZ,2024,reciente,target,244.0,366.0,1045.3,2.8560109289617484,2.975,2.975,2.38,666.4,224.0,122.0,2.7766666666666677,0.343523410167827,0.0,0,0,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,500.0,500.0,500.0,0.0,25.0,1.0
BOLIVAR,ACHI,ARROZ,2006,historica,historial,700.0,700.0,1440.0,2.057142857142857,,,,,,,2.975,0.0,,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
BOLIVAR,ACHI,ARROZ,2007,historica,historial,2866.0,2649.0,10268.0,3.8761796904492254,2.057142857142857,,,1440.0,700.0,700.0,2.5160714285714287,0.6490230098747954,,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,
BOLIVAR,ACHI,ARROZ,2008,historica,historial,2950.0,2800.0,10080.0,3.6,3.8761796904492254,2.057142857142857,,10268.0,2649.0,2866.0,2.966661273796042,1.2862532800590372,1.8190368333063691,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2009,historica,historial,1340.0,1300.0,1995.0,1.5346153846153847,3.6,3.8761796904492254,2.057142857142857,10080.0,2800.0,2950.0,3.1777741825306944,0.9802702336266942,-0.2761796904492262,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2010,historica,historial,3450.0,2600.0,6865.0,2.6403846153846158,1.5346153846153847,3.6,3.8761796904492254,1995.0,1300.0,1340.0,3.003598358354871,1.2796491855999186,-2.065384615384615,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2011,historica,historial,3400.0,3400.0,9425.0,2.772058823529412,2.6403846153846158,1.5346153846153847,3.6,6865.0,2600.0,3450.0,2.591666666666667,1.0335538114981375,1.1057692307692306,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2012,historica,historial,6500.0,6500.0,37250.0,5.730769230769231,2.772058823529412,2.6403846153846158,1.5346153846153847,9425.0,3400.0,3400.0,2.315686274509804,0.6796236646505073,0.1316742081447963,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2013,historica,historial,2450.0,2450.0,4275.0,1.7448979591836735,5.730769230769231,2.772058823529412,2.6403846153846158,37250.0,6500.0,6500.0,3.7144042232277528,1.747463993048483,2.958710407239819,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2014,historica,historial,1880.0,1880.0,3760.0,2.0,1.7448979591836735,5.730769230769231,2.772058823529412,4275.0,2450.0,2450.0,3.415908671160772,2.0694683902234314,-3.985871271585557,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2015,historica,historial,2082.0,2021.0,7849.0,3.883720930232558,2.0,1.7448979591836735,5.730769230769231,3760.0,1880.0,1880.0,3.1585557299843017,2.231250990593026,0.2551020408163265,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2016,historica,historial,1587.0,1287.0,3753.0,2.9160839160839163,3.883720930232558,2.0,1.7448979591836735,7849.0,2021.0,2082.0,2.542872963138744,1.1681927135331196,1.883720930232558,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2017,historica,historial,3996.0,3996.0,12280.0,3.073073073073073,2.9160839160839163,3.883720930232558,2.0,3753.0,1287.0,1587.0,2.9332682821054914,0.9419780318965648,-0.9676370141486416,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
BOLIVAR,ACHI,ARROZ,2018,historica,historial,355.0,355.0,1597.0,4.498591549295774,3.073073073073073,2.9160839160839163,3.883720930232558,12280.0,3996.0,3996.0,3.2909593064631824,0.5193131577510063,0.1569891569891566,0,0,0,0.927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,400.0,400.0,400.0,0.0,0.0,1.0
