Año,MAE,RMSE,R2,MAPE,N,Modelo
2019,0.16543199563924613,0.2391859849505561,-1.3169014988355512,39.444835206705314,502,Baseline 1 (t-1)
2020,0.09052896749288854,0.16150380094502736,-0.09363469492049536,19.0960335958482,546,Baseline 1 (t-1)
2021,0.1199919833058278,0.19665521644300407,-0.2186731119362888,20.898472317730096,552,Baseline 1 (t-1)
2022,0.07486230854527123,0.14284283963334377,0.3727173689596197,14.107890694614886,559,Baseline 1 (t-1)
2023,0.05007096466755545,0.11774151773669751,0.5974224309812615,9.193114722663049,563,Baseline 1 (t-1)
2024,0.038347417044530444,0.13737413241985288,0.5849142447788862,9.115501522633037,565,Baseline 1 (t-1)
2019,0.1559534858413677,0.22658352172705343,-1.0752525035501836,36.98170921973886,499,Baseline 2 (media 3y)
2020,0.1283832097598126,0.17814686806853489,-0.3479645458815772,28.610726052834067,509,Baseline 2 (media 3y)
2021,0.12751933874939234,0.17831289209947118,-0.00441435337931706,22.966540506163373,545,Baseline 2 (media 3y)
2022,0.1087176334424087,0.16153838934459192,0.186566538687442,20.032225296122004,557,Baseline 2 (media 3y)
2023,0.08722168946652584,0.13591095713521675,0.4595462801191591,15.276861875877993,560,Baseline 2 (media 3y)
2024,0.07307508363880605,0.14466999274612105,0.5221949043157279,15.567623981958508,564,Baseline 2 (media 3y)
