MAE,RMSE,R2,N,Año,Fase,Tipo
0.26595935080133754,0.31861475673121825,-0.9755969539983453,579,2019,A,ML_Puro
0.1651275018374139,0.28156872613118766,0.05144651132235156,619,2020,A,ML_Puro
0.16964873358605706,0.23131851083585098,-0.0786273557419146,625,2021,A,ML_Puro
0.20349263319709018,0.2750209017518806,0.09516096932997564,631,2022,A,ML_Puro
0.19579879018244384,0.27006815714034643,0.3465282148898786,625,2023,A,ML_Puro
0.24101292720376952,0.3219437859771482,0.32338918846611,623,2024,A,ML_Puro
0.2739971184206384,0.3280104890210404,-1.0938329912319946,579,2019,A,Híbrido
0.16029685196513155,0.2847708934395714,0.029748798453035463,619,2020,A,Híbrido
0.17297693688457497,0.2388904710389243,-0.15039850464007065,625,2021,A,Híbrido
0.20179632454155366,0.27436353446901823,0.09948137333269025,631,2022,A,Híbrido
0.18560788585329915,0.26053932042393096,0.39182770670167055,625,2023,A,Híbrido
0.2343017603329615,0.311037904689069,0.36845329378589664,623,2024,A,Híbrido
0.32397053989707664,0.3892041573632086,-1.9479595243400647,579,2019,A,Baseline
0.20006041840293673,0.3229777891175626,-0.24806817275566062,619,2020,A,Baseline
0.2314934474766299,0.31430212761288207,-0.9913394464637828,625,2021,A,Baseline
0.20946460231431752,0.2898514999171425,-0.005057772658707771,631,2022,A,Baseline
0.17309493638961576,0.27369018814168783,0.32888254389944627,625,2023,A,Baseline
0.24792421400421966,0.31138816886730175,0.36703010556630233,623,2024,A,Baseline
0.26595935080133754,0.31861475673121825,-0.9755969539983453,579,2019,B,ML_Puro
0.1651275018374139,0.28156872613118766,0.05144651132235156,619,2020,B,ML_Puro
0.16964873358605706,0.23131851083585098,-0.0786273557419146,625,2021,B,ML_Puro
0.20349263319709018,0.2750209017518806,0.09516096932997564,631,2022,B,ML_Puro
0.19579879018244384,0.27006815714034643,0.3465282148898786,625,2023,B,ML_Puro
0.24101292720376952,0.3219437859771482,0.32338918846611,623,2024,B,ML_Puro
0.2739971184206384,0.3280104890210404,-1.0938329912319946,579,2019,B,Híbrido
0.16029685196513155,0.2847708934395714,0.029748798453035463,619,2020,B,Híbrido
0.17297693688457497,0.2388904710389243,-0.15039850464007065,625,2021,B,Híbrido
0.20179632454155366,0.27436353446901823,0.09948137333269025,631,2022,B,Híbrido
0.18560788585329915,0.26053932042393096,0.39182770670167055,625,2023,B,Híbrido
0.2343017603329615,0.311037904689069,0.36845329378589664,623,2024,B,Híbrido
0.32397053989707664,0.3892041573632086,-1.9479595243400647,579,2019,B,Baseline
0.20006041840293673,0.3229777891175626,-0.24806817275566062,619,2020,B,Baseline
0.2314934474766299,0.31430212761288207,-0.9913394464637828,625,2021,B,Baseline
0.20946460231431752,0.2898514999171425,-0.005057772658707771,631,2022,B,Baseline
0.17309493638961576,0.27369018814168783,0.32888254389944627,625,2023,B,Baseline
0.24792421400421966,0.31138816886730175,0.36703010556630233,623,2024,B,Baseline
