MAE,RMSE,R2,N,Año,Fase,Tipo
0.15460727332399715,0.214584736650613,-0.8648064735572141,502,2019,A,ML_Puro
0.11129347395746059,0.15048795263087056,0.050466587629332094,546,2020,A,ML_Puro
0.12402650119127515,0.17287214278684118,0.05827019049515281,552,2021,A,ML_Puro
0.10678218825359112,0.14808357470641775,0.325844485298572,559,2022,A,ML_Puro
0.09107600455362788,0.13244190994691238,0.4906208273040745,563,2023,A,ML_Puro
0.0887088093742656,0.15402261767752362,0.4782086148356436,565,2024,A,ML_Puro
0.16543199563924613,0.2391859849505561,-1.3169014988355512,502,2019,A,Híbrido
0.09052896749288854,0.16150380094502736,-0.09363469492049536,546,2020,A,Híbrido
0.1199919833058278,0.19665521644300407,-0.2186731119362888,552,2021,A,Híbrido
0.07486230854527123,0.14284283963334377,0.3727173689596197,559,2022,A,Híbrido
0.05007096466755545,0.11774151773669751,0.5974224309812615,563,2023,A,Híbrido
0.038347417044530444,0.13737413241985288,0.5849142447788862,565,2024,A,Híbrido
0.16543199563924613,0.2391859849505561,-1.3169014988355512,502,2019,A,Baseline
0.09052896749288854,0.16150380094502736,-0.09363469492049536,546,2020,A,Baseline
0.1199919833058278,0.19665521644300407,-0.2186731119362888,552,2021,A,Baseline
0.07486230854527123,0.14284283963334377,0.3727173689596197,559,2022,A,Baseline
0.05007096466755545,0.11774151773669751,0.5974224309812615,563,2023,A,Baseline
0.038347417044530444,0.13737413241985288,0.5849142447788862,565,2024,A,Baseline
0.1542003257658177,0.21492094898134328,-0.8706546257703391,502,2019,B,ML_Puro
0.11085466904369912,0.14967165090825504,0.060739882176141013,546,2020,B,ML_Puro
0.12408990495058,0.17293636281458827,0.057570376783712796,552,2021,B,ML_Puro
0.1071054219733865,0.14862775100517936,0.3208806191904776,559,2022,B,ML_Puro
0.09113045631965642,0.13215112864675893,0.4928550949744196,563,2023,B,ML_Puro
0.08860036223313009,0.15395579388569233,0.47866128231457705,565,2024,B,ML_Puro
0.16543199563924613,0.2391859849505561,-1.3169014988355512,502,2019,B,Híbrido
0.09052896749288854,0.16150380094502736,-0.09363469492049536,546,2020,B,Híbrido
0.1199919833058278,0.19665521644300407,-0.2186731119362888,552,2021,B,Híbrido
0.07486230854527123,0.14284283963334377,0.3727173689596197,559,2022,B,Híbrido
0.05007096466755545,0.11774151773669751,0.5974224309812615,563,2023,B,Híbrido
0.038347417044530444,0.13737413241985288,0.5849142447788862,565,2024,B,Híbrido
0.16543199563924613,0.2391859849505561,-1.3169014988355512,502,2019,B,Baseline
0.09052896749288854,0.16150380094502736,-0.09363469492049536,546,2020,B,Baseline
0.1199919833058278,0.19665521644300407,-0.2186731119362888,552,2021,B,Baseline
0.07486230854527123,0.14284283963334377,0.3727173689596197,559,2022,B,Baseline
0.05007096466755545,0.11774151773669751,0.5974224309812615,563,2023,B,Baseline
0.038347417044530444,0.13737413241985288,0.5849142447788862,565,2024,B,Baseline
0.15496111274263283,0.2154981644221771,-0.8807161922706235,502,2019,C,ML_Puro
0.1112327801155709,0.15036993091540796,0.05195536617907193,546,2020,C,ML_Puro
0.12389172262987906,0.17200142432615914,0.06773286602867745,552,2021,C,ML_Puro
0.10653543278939698,0.14794868472747935,0.32707210836188017,559,2022,C,ML_Puro
0.09105334161566328,0.13256311947705451,0.4896880430688145,563,2023,C,ML_Puro
0.08795773457709379,0.15341909899249112,0.4822897541599229,565,2024,C,ML_Puro
0.16543199563924613,0.2391859849505561,-1.3169014988355512,502,2019,C,Híbrido
0.09052896749288854,0.16150380094502736,-0.09363469492049536,546,2020,C,Híbrido
