MAE,RMSE,R2,N,Año,Fase,Tipo
2.2159175656983967,3.561991796214719,0.34450412330390656,717,2019,A,ML_Puro
1.449515527837012,2.2487615137232946,0.6976194854685048,768,2020,A,ML_Puro
1.7600798077941913,2.7722040586701433,0.5185461673852642,782,2021,A,ML_Puro
1.5230045813347641,2.3102488824149923,0.6626061385613935,784,2022,A,ML_Puro
1.1842152197239215,1.8225426048838518,0.7927326472859251,791,2023,A,ML_Puro
0.998771369240477,1.6316847149526825,0.834928939220746,794,2024,A,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,A,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,A,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,A,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,A,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,A,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,A,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,A,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,A,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,A,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,A,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,A,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,A,Baseline
2.217263826913082,3.564765659436961,0.34348280490538907,717,2019,B,ML_Puro
1.4411044680746876,2.2407586907056314,0.6997678607394031,768,2020,B,ML_Puro
1.7620245603936966,2.7840597120689434,0.5144193751276991,782,2021,B,ML_Puro
1.5161404962642788,2.311013993971159,0.6623826243845676,784,2022,B,ML_Puro
1.1852408303518842,1.832322321678813,0.7905022967164991,791,2023,B,ML_Puro
1.0013206839430489,1.6277089759935688,0.8357323786363817,794,2024,B,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,B,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,B,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,B,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,B,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,B,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,B,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,B,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,B,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,B,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,B,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,B,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,B,Baseline
2.2115266100419073,3.5425879587896527,0.35162625755144983,717,2019,C,ML_Puro
1.4414717848849403,2.2509273742365266,0.6970367385674732,768,2020,C,ML_Puro
1.762106374629227,2.7864226425325485,0.5135947662568515,782,2021,C,ML_Puro
1.517834455003227,2.3190346142243747,0.660035083610861,784,2022,C,ML_Puro
1.184051518062255,1.830313922115513,0.790961303843146,791,2023,C,ML_Puro
1.0011215864290597,1.6336470786263322,0.8345316513881837,794,2024,C,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,C,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,C,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,C,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,C,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,C,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,C,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,C,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,C,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,C,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,C,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,C,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,C,Baseline
2.2115266100419073,3.5425879587896527,0.35162625755144983,717,2019,D,ML_Puro
1.4414717848849403,2.2509273742365266,0.6970367385674732,768,2020,D,ML_Puro
1.762106374629227,2.7864226425325485,0.5135947662568515,782,2021,D,ML_Puro
1.517834455003227,2.3190346142243747,0.660035083610861,784,2022,D,ML_Puro
1.184051518062255,1.830313922115513,0.790961303843146,791,2023,D,ML_Puro
1.0011215864290597,1.6336470786263322,0.8345316513881837,794,2024,D,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,D,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,D,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,D,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,D,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,D,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,D,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,D,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,D,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,D,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,D,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,D,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,D,Baseline
2.2115266100419073,3.5425879587896527,0.35162625755144983,717,2019,E,ML_Puro
1.4414717848849403,2.2509273742365266,0.6970367385674732,768,2020,E,ML_Puro
1.762106374629227,2.7864226425325485,0.5135947662568515,782,2021,E,ML_Puro
1.517834455003227,2.3190346142243747,0.660035083610861,784,2022,E,ML_Puro
1.184051518062255,1.830313922115513,0.790961303843146,791,2023,E,ML_Puro
1.0011215864290597,1.6336470786263322,0.8345316513881837,794,2024,E,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,E,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,E,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,E,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,E,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,E,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,E,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,E,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,E,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,E,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,E,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,E,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,E,Baseline
2.212423866305678,3.548144702460791,0.3495906427053391,717,2019,F,ML_Puro
1.443240380824343,2.264273738247241,0.6934333834353232,768,2020,F,ML_Puro
1.7568136980791957,2.781684260765487,0.5152476483379933,782,2021,F,ML_Puro
1.5173261191242147,2.315068164553595,0.6611970330985337,784,2022,F,ML_Puro
1.195155448602447,1.8315239886889456,0.7906848109948275,791,2023,F,ML_Puro
1.0028686132863482,1.622456984316554,0.8367907254787466,794,2024,F,ML_Puro
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,F,Híbrido
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,F,Híbrido
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,F,Híbrido
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,F,Híbrido
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,F,Híbrido
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,F,Híbrido
2.3828961609009993,4.151149760307412,0.10973164254114653,717,2019,F,Baseline
1.0052777545016323,2.374997863045926,0.6627177796694403,768,2020,F,Baseline
1.5713949167896557,3.0011749489908226,0.435730100739099,782,2021,F,Baseline
1.0486999515404773,2.2576411470316224,0.6777970868718091,784,2022,F,Baseline
0.6273315556568981,1.6315460465336338,0.8338982561242021,791,2023,F,Baseline
0.32141063032237016,1.4232715929781448,0.8744045187320366,794,2024,F,Baseline
