MAE,RMSE,R2,N,Año,Fase,Tipo
0.9371985602268785,1.219550256483433,0.7060667490713337,263,2019,A,ML_Puro
0.857091822399682,1.1438860682878411,0.7143060564128787,299,2020,A,ML_Puro
0.9271304665442968,1.2857268610314727,0.6500764093849614,300,2021,A,ML_Puro
0.7565618261737409,0.9960961319854028,0.7690984202290472,301,2022,A,ML_Puro
0.6488130473715694,0.8676299630469225,0.8204501463514852,297,2023,A,ML_Puro
0.6337697144995047,0.8700426653257164,0.8221991909042063,290,2024,A,ML_Puro
0.8846180004032684,1.2866828428991381,0.6728157916222557,263,2019,A,Híbrido
0.607955263955777,1.0253486496126014,0.7704493006598847,299,2020,A,Híbrido
0.8132152185511992,1.234263548308605,0.6775283097678216,300,2021,A,Híbrido
0.5546723427554736,0.8690886619572962,0.8242268380099615,301,2022,A,Híbrido
0.44502039104496255,0.7983990973970149,0.8479606351318661,297,2023,A,Híbrido
0.43788613236956825,0.830400270918021,0.8380326051064,290,2024,A,Híbrido
0.8950695565214764,1.3210654191043958,0.6550962128723334,263,2019,A,Baseline
0.6058184160839197,1.0593533909972142,0.7549711538931729,299,2020,A,Baseline
0.8235022977425774,1.257802189486344,0.665111310066583,300,2021,A,Baseline
0.5542986882272151,0.8929991755326829,0.8144219902456394,301,2022,A,Baseline
0.4422659635112596,0.8233383090399408,0.8383139250409619,297,2023,A,Baseline
0.42480694203649105,0.8479653097518446,0.831108106830277,290,2024,A,Baseline
0.9343538300796713,1.216773454025929,0.7074037425566574,263,2019,B,ML_Puro
0.8516421755501206,1.14302906545382,0.7147339815506708,299,2020,B,ML_Puro
0.9302845385987542,1.28583666477631,0.6500166384296835,300,2021,B,ML_Puro
0.7571909499885686,0.9954626641697655,0.7693920107869021,301,2022,B,ML_Puro
0.6508740646125594,0.8703917527082029,0.8193052616028028,297,2023,B,ML_Puro
0.6307658744345844,0.8744577289711672,0.8203900988210805,290,2024,B,ML_Puro
0.8844459094153357,1.2873629055911346,0.6724698406735814,263,2019,B,Híbrido
0.6078643992917967,1.026141905392713,0.7700939818001251,299,2020,B,Híbrido
0.8134809790870476,1.2337325126332075,0.677805733716095,300,2021,B,Híbrido
0.5548433118250738,0.8697931810622007,0.8239417445568396,301,2022,B,Híbrido
0.4450237388884691,0.7981193568713999,0.8480671586010005,297,2023,B,Híbrido
0.4380860884929321,0.8308862907892595,0.8378429558209709,290,2024,B,Híbrido
0.8950695565214764,1.3210654191043958,0.6550962128723334,263,2019,B,Baseline
0.6058184160839197,1.0593533909972142,0.7549711538931729,299,2020,B,Baseline
0.8235022977425774,1.257802189486344,0.665111310066583,300,2021,B,Baseline
0.5542986882272151,0.8929991755326829,0.8144219902456394,301,2022,B,Baseline
0.4422659635112596,0.8233383090399408,0.8383139250409619,297,2023,B,Baseline
0.42480694203649105,0.8479653097518446,0.831108106830277,290,2024,B,Baseline
0.9280799706802456,1.2115165380264132,0.709926531399828,263,2019,C,ML_Puro
0.8364308633979511,1.1222406795946507,0.7250159480971597,299,2020,C,ML_Puro
0.9248068847050996,1.2810840166024868,0.6525990407461353,300,2021,C,ML_Puro
0.7578693307804856,0.9989251697076711,0.7677849789159743,301,2022,C,ML_Puro
0.6483998984862804,0.866553795167169,0.8208952807045939,297,2023,C,ML_Puro
0.6337067032153827,0.8710481253295504,0.8217880044014483,290,2024,C,ML_Puro
0.8842017095062964,1.286633732265247,0.6728407673453907,263,2019,C,Híbrido
0.6070394499085373,1.02582086734329,0.7702378157735648,299,2020,C,Híbrido
0.8125931675344265,1.232976363152481,0.6782005557146373,300,2021,C,Híbrido
0.5556078917543844,0.8701747707503016,0.8237872325347608,301,2022,C,Híbrido
0.4445754516723027,0.7982577556639006,0.848014461858983,297,2023,C,Híbrido
0.4383395325962195,0.829617321534982,0.8383378855678181,290,2024,C,Híbrido
0.8950695565214764,1.3210654191043958,0.6550962128723334,263,2019,C,Baseline
0.6058184160839197,1.0593533909972142,0.7549711538931729,299,2020,C,Baseline
0.8235022977425774,1.257802189486344,0.665111310066583,300,2021,C,Baseline
0.5542986882272151,0.8929991755326829,0.8144219902456394,301,2022,C,Baseline
0.4422659635112596,0.8233383090399408,0.8383139250409619,297,2023,C,Baseline
0.42480694203649105,0.8479653097518446,0.831108106830277,290,2024,C,Baseline
0.9280799706802456,1.2115165380264132,0.709926531399828,263,2019,D,ML_Puro
0.8364308633979511,1.1222406795946507,0.7250159480971597,299,2020,D,ML_Puro
0.9248068847050996,1.2810840166024868,0.6525990407461353,300,2021,D,ML_Puro
0.7578693307804856,0.9989251697076711,0.7677849789159743,301,2022,D,ML_Puro
0.6483998984862804,0.866553795167169,0.8208952807045939,297,2023,D,ML_Puro
0.6337067032153827,0.8710481253295504,0.8217880044014483,290,2024,D,ML_Puro
0.8842017095062964,1.286633732265247,0.6728407673453907,263,2019,D,Híbrido
0.6070394499085373,1.02582086734329,0.7702378157735648,299,2020,D,Híbrido
0.8125931675344265,1.232976363152481,0.6782005557146373,300,2021,D,Híbrido
0.5556078917543844,0.8701747707503016,0.8237872325347608,301,2022,D,Híbrido
0.4445754516723027,0.7982577556639006,0.848014461858983,297,2023,D,Híbrido
0.4383395325962195,0.829617321534982,0.8383378855678181,290,2024,D,Híbrido
0.8950695565214764,1.3210654191043958,0.6550962128723334,263,2019,D,Baseline
0.6058184160839197,1.0593533909972142,0.7549711538931729,299,2020,D,Baseline
0.8235022977425774,1.257802189486344,0.665111310066583,300,2021,D,Baseline
0.5542986882272151,0.8929991755326829,0.8144219902456394,301,2022,D,Baseline
