departamento,municipio,rendimiento_original,produccion_esperada_t,ingreso_promedio_5y_cop
BOYACA,BRICENO,1.207266368630338,172.1803294940588,2865080682.7811384
SANTANDER,BUCARAMANGA,1.3067698428810601,653.8553585839672,10880153166.837215
NORTE DE SANTANDER,BUCARASICA,1.1224427984175889,1029.919838544027,17137866113.372608
BOYACA,BUENAVISTA,1.1666319632944833,369.35567957903345,6146078508.195116
QUINDIO,BUENAVISTA,1.35464797867408,719.9276682663399,11979596399.951895
CAUCA,BUENOS AIRES,1.2729959964449757,2104.096892644007,35012172293.596275
NARINO,BUESACO,1.2589944615933848,3451.20597789825,57428067472.226875
VALLE DEL CAUCA,BUGALAGRANDE,1.2783760393439128,1443.069224492589,24012671895.556683
ANTIOQUIA,BURITICA,1.237381092464308,937.7368871131513,15603941801.562838
CUNDINAMARCA,CABRERA,1.2681342076885829,20.264784638863556,337206016.3906896
SANTANDER,CABRERA,1.3315013751542546,12.995453421505525,216244344.93385193
CUNDINAMARCA,CACHIPAY,1.2904824220373374,643.7442514091053,10711904343.447514
NORTE DE SANTANDER,CACHIRA,1.1723142007532577,877.6647495359339,14604341432.27794
NORTE DE SANTANDER,CACOTA,1.4656020955756213,3.282948694089392,54628266.26964748
ANTIOQUIA,CAICEDO,1.3027430164020337,2150.437897174837,35783286608.98928
VALLE DEL CAUCA,CAICEDONIA,1.113689731959402,3142.1642097502568,52285612450.24427
TOLIMA,CAJAMARCA,1.140189834387096,1321.0923535109528,21982976762.422253
CAUCA,CAJIBIO,1.198210068220332,7342.906886369885,122185970589.19489
QUINDIO,CALARCA,1.3081295021412331,2715.3105701846002,45182767887.87175
ANTIOQUIA,CALDAS,1.2805008247262535,120.98171792013643,2013135786.1910703
CAUCA,CALDONO,1.249603076065669,5229.238984473526,87014536701.63948
VALLE DEL CAUCA,CALIMA,1.362890280570337,399.70846148566835,6651148799.121521
CAUCA,CALOTO,1.365042231773087,2225.319147081122,37029310607.42987
ANTIOQUIA,CAMPAMENTO,1.2543581362204403,225.79700810104146,3757262214.8013296
HUILA,CAMPOALEGRE,1.177296925942272,1807.6217000917648,30078825089.526966
BOYACA,CAMPOHERMOSO,1.2703048000737704,239.6430005339168,3987659528.8843756
ANTIOQUIA,CANASGORDAS,1.2838130144266018,1930.854773697609,32129423434.328213
CUNDINAMARCA,CAPARRAPI,1.2193135003724862,534.3275621332309,8891210633.896961
SANTANDER,CAPITANEJO,1.2280842212241492,13.975598437530818,232553958.0005128
CUNDINAMARCA,CAQUEZA,1.296380061229562,105.47348178163716,1755078736.8464422
ANTIOQUIA,CARACOLI,1.2023931590336705,12.745367485756907,212082914.96299493
