Año,MAE,RMSE,R2,MAPE,N,Modelo
2019,0.16306640625000002,0.2339483616901388,-1.2168357251830084,38.59616524755292,512,Baseline 1 (t-1)
2020,0.10243682310469314,0.17065439984871658,-0.21681864628152114,21.577552141042577,554,Baseline 1 (t-1)
2021,0.12654676258992806,0.19976965152160814,-0.2625594522053878,22.672347949965623,556,Baseline 1 (t-1)
2022,0.08797872340425533,0.1634360655355191,0.1746951844026683,17.001973529846705,564,Baseline 1 (t-1)
2023,0.0708849557522124,0.15363846771255546,0.31807829700648893,13.370968822849164,565,Baseline 1 (t-1)
2024,0.06687062937062938,0.1868037188351168,0.31788144753749137,13.76571710013941,572,Baseline 1 (t-1)
2019,0.15575121654501217,0.2215034363239659,-1.012259595432469,37.00957775432708,548,Baseline 2 (media 3y)
2020,0.13062015503875965,0.1783068460425929,-0.32384344225933526,29.030606820239452,559,Baseline 2 (media 3y)
2021,0.13228869047619046,0.1826257313143338,-0.03999743886083151,24.63110959884375,560,Baseline 2 (media 3y)
2022,0.11257922535211268,0.16551590695106652,0.1486245349735711,21.351831579139905,568,Baseline 2 (media 3y)
2023,0.09259553203997649,0.1423969144550741,0.41491342411009,16.688826873189942,567,Baseline 2 (media 3y)
2024,0.09008333333333333,0.17577983061368194,0.4030722384225556,18.234883943008033,580,Baseline 2 (media 3y)
