departamento,municipio,rendimiento_inferido,produccion_esperada_t,ingreso_esperado_cop
NORTE DE SANTANDER,ABREGO,0.8145960470981161,46.43197468459262,594329275.9627855
META,ACACIAS,0.7575542589663443,151.51085179326887,1939338902.9538414
CHOCO,ACANDI,0.7683315943227548,37.64824812181499,481897575.9592318
HUILA,ACEVEDO,0.7546456524555539,10.565039134377756,135232500.92003527
BOLIVAR,ACHI,0.6082304738205124,91.23457107307686,1167802509.7353837
HUILA,AGRADO,0.5135732434702285,96.36174767231897,1233430370.2056828
CUNDINAMARCA,AGUA DE DIOS,0.5230650769220965,9.310558369213318,119175147.12593047
CESAR,AGUACHICA,0.7492664187578619,59.94131350062895,767248812.8080505
CASANARE,AGUAZUL,0.4947539695000815,6.926555573001141,88659911.3344146
CESAR,AGUSTIN CODAZZI,0.5205401325336063,465.88341861757766,5963307758.304994
HUILA,AIPE,0.6054742952633347,36.328457715800084,465004258.7622411
CAQUETA,ALBANIA,0.660281485468032,6.60281485468032,84516030.13990809
VALLE DEL CAUCA,ALCALA,0.43584517058046646,17.25946875498647,220921200.06382683
HUILA,ALGECIRAS,0.5140569259327107,192.51431876180015,2464183280.151042
TOLIMA,ALPUJARRA,0.6689141748752058,58.195533214142905,744902825.1410292
HUILA,ALTAMIRA,0.6056887084119782,3.634132250471869,46516892.80603993
CHOCO,ALTO BAUDO,0.7788218590219137,134.73618161079108,1724623124.618126
BOLIVAR,ALTOS DEL ROSARIO,0.5178601048820113,10.357202097640226,132572186.84979488
TOLIMA,ALVARADO,0.6194265763359299,231.04611297330186,2957390246.058264
ANTIOQUIA,AMALFI,0.8795822878581512,631.5400826821525,8083713058.331552
CUNDINAMARCA,ANAPOIMA,0.6938059705042704,46.485000023786114,595008000.3044623
VALLE DEL CAUCA,ANDALUCIA,0.7434005382009264,52.63275810462559,673699303.7392075
ANTIOQUIA,ANORI,0.6081139955117397,145.94735892281753,1868126194.2120643
CALDAS,ANSERMA,0.5269333903773193,141.7450820114989,1814337049.747186
VALLE DEL CAUCA,ANSERMANUEVO,0.5188359471471689,19.093162855015812,244392484.5442024
TOLIMA,ANZOATEGUI,0.6701639382819152,93.15278742118622,1192355678.9911838
ANTIOQUIA,APARTADO,0.5198784686291842,989.3287258013376,12663407690.25712
MAGDALENA,ARACATACA,0.681767408011088,211.3478964834373,2705253074.9879975
ARAUCA,ARAUCA,0.7552799348108596,194.86222318120178,2494236456.719383
ARAUCA,ARAUQUITA,0.6769829833619396,4931.82103379173,63127309232.53414
CUNDINAMARCA,ARBELAEZ,0.673970977555914,10.109564663338709,129402427.69073547
NORTE DE SANTANDER,ARBOLEDAS,0.7549901221683096,3.774950610841548,48319367.81877182
ANTIOQUIA,ARBOLETES,0.4393408645596295,221.8671366026129,2839899348.5134454
