MAE,RMSE,R2,N,Año,Fase
0.14337329658257172,0.1974502939429304,-0.6012604562466994,549,2019,A
0.10919314546297904,0.1462249260099938,0.10842556566064254,560,2020,A
0.1243837823492039,0.175787702354278,0.03642546725914042,560,2021,A
0.10016020131579073,0.14864428109352237,0.3137389933047213,569,2022,A
0.08691706726571377,0.13778468461874033,0.4522014616087089,567,2023,A
0.09423725129420744,0.1767738636064659,0.39630190958561007,580,2024,A
0.14368357181324365,0.1980194785588759,-0.6105055827250321,549,2019,B
0.10946016038436714,0.14681322671153568,0.10123706494441109,560,2020,B
0.12413548093865721,0.17635547048711328,0.03019101046105288,560,2021,B
0.09975837796984877,0.14776438222413404,0.3218395817043812,569,2022,B
0.08659386038145099,0.13781522535521604,0.4519585895505195,567,2023,B
0.0935396275524981,0.17636547785642473,0.39908803316951214,580,2024,B
0.14554571772624633,0.20080475496806208,-0.6561298864269596,549,2019,C
0.10881840909418078,0.14681976913555397,0.10115696018325737,560,2020,C
0.12202736109692874,0.1742289828473422,0.053437846354091656,560,2021,C
0.09609955789110254,0.14305802524254072,0.364351004868528,569,2022,C
0.08526638077117278,0.13411578575061886,0.48098635834650183,567,2023,C
0.09205117304327462,0.17400499573768183,0.41506564658713985,580,2024,C
0.14554571772624633,0.20080475496806208,-0.6561298864269596,549,2019,D
0.10881840909418078,0.14681976913555397,0.10115696018325737,560,2020,D
0.12202736109692874,0.1742289828473422,0.053437846354091656,560,2021,D
0.09609955789110254,0.14305802524254072,0.364351004868528,569,2022,D
0.08526638077117278,0.13411578575061886,0.48098635834650183,567,2023,D
0.09205117304327462,0.17400499573768183,0.41506564658713985,580,2024,D
0.14554571772624633,0.20080475496806208,-0.6561298864269596,549,2019,E
0.10881840909418078,0.14681976913555397,0.10115696018325737,560,2020,E
0.12202736109692874,0.1742289828473422,0.053437846354091656,560,2021,E
0.09609955789110254,0.14305802524254072,0.364351004868528,569,2022,E
0.08454373999230394,0.13314586667352293,0.48846617800301184,567,2023,E
0.09116327032889324,0.17264722471459554,0.4241585843033405,580,2024,E
0.14617087845255083,0.20245145980658222,-0.6834035350066234,549,2019,F
0.11111430326897588,0.14825307211524408,0.08352169362741979,560,2020,F
0.12388141025584683,0.17619199606676675,0.03198812491808323,560,2021,F
0.09665121469926141,0.14398523585857378,0.35608456208698647,569,2022,F
0.08869380346995226,0.1386725123719119,0.4451191408294858,567,2023,F
0.09551483412754155,0.17489213746991628,0.409086019445955,580,2024,F
